"","olat","olng","lat5","lon5","neighborhood","mode","time_start","dis"
"1",47.62533,-122.3612,47.61853,-122.35537,"Lower Queen Anne",23,"5/19/2015 7:14:31.978 ",874.274421160308
"2",47.62532,-122.36128,47.61891,-122.36091,"Lower Queen Anne",1,"5/19/2015 19:03:17.021 ",714.097775262789
"3",47.63342,-122.37923,47.63044,-122.3778,"Interbay",1,"5/19/2015 19:32:26.016 ",348.645960883952
"4",47.62374,-122.358,47.62531,-122.36118,"Lower Queen Anne",1,"5/20/2015 16:54:35.021 ",295.752507702965
"5",47.62531,-122.36118,47.61861,-122.35513,"Lower Queen Anne",23,"5/21/2015 7:16:45.984 ",873.120925767309
"6",47.60908,-122.33871,47.6158,-122.34686,"Central Business District",23,"5/21/2015 16:34:31.037 ",966.271561653988
"7",47.6254,-122.36113,47.62458,-122.35378,"Lower Queen Anne",1,"5/21/2015 19:06:02.995 ",558.953401455317
"8",47.60805,-122.34191,47.60967,-122.34581,"Pike-Market",1,"5/21/2015 19:44:17.002 ",343.791588508948
"9",47.62083,-122.31667,47.6185,-122.32875,"Broadway",6,"5/19/2015 9:54:45.965 ",942.800379669059
"10",47.56519,-122.33056,47.57994,-122.32896,"Industrial District",6,"5/19/2015 10:33:13.018 ",1646.35359067106
"11",47.58119,-122.32871,47.59722,-122.32002,"Industrial District",6,"5/19/2015 10:42:27.014 ",1899.98275788173
"12",47.62079,-122.31695,47.61846,-122.31044,"Broadway",1,"5/19/2015 11:25:25.018 ",553.068405476649
"13",47.60653,-122.30246,47.6218,-122.31005,"Mann",22,"5/19/2015 13:04:14.995 ",1792.73527083738
"14",47.62085,-122.31643,47.60619,-122.3168,"Broadway",6,"5/19/2015 16:04:11.021 ",1632.17992646033
"15",47.55023,-122.31727,47.58273,-122.32138,"Mid-Beacon Hill",6,"5/19/2015 18:27:00.000 ",3631.03020832372
"16",47.62088,-122.31695,47.64322,-122.32051,"Broadway",22,"5/19/2015 21:43:39.994 ",2501.17585288608
"17",47.58759,-122.31622,47.60062,-122.31706,"North Beacon Hill",23,"5/20/2015 9:58:23.002 ",1451.86308170839
"18",47.62089,-122.31667,47.60621,-122.3168,"Broadway",6,"5/21/2015 11:30:12.038 ",1634.19924424229
"19",47.60919,-122.3097,47.60778,-122.30989,"Minor",1,"5/21/2015 12:08:00.038 ",157.606886651193
"20",47.60778,-122.30989,47.61556,-122.31687,"Minor",6,"5/21/2015 13:06:27.014 ",1012.15614665007
"21",47.62084,-122.31695,47.60804,-122.3168,"Broadway",6,"5/21/2015 19:25:59.981 ",1424.93394288332
"22",47.58766,-122.31627,47.60087,-122.32893,"North Beacon Hill",22,"5/21/2015 19:55:15.024 ",1750.92069808642
"23",47.62344,-122.35676,47.60117,-122.32462,"Lower Queen Anne",22,"5/21/2015 23:47:29.962 ",3458.81487344274
"47",47.60901,-122.33411,47.64376,-122.32281,"Central Business District",6,"5/21/2015 22:44:44.995 ",3960.16252256591
"96",47.61944,-122.3453,47.6153,-122.34781,"South Lake Union",1,"5/19/2015 9:28:02.035 ",497.863909537448
"97",47.61195,-122.34343,47.61415,-122.34088,"Pike-Market",1,"5/19/2015 9:39:44.035 ",310.800866540971
"98",47.61939,-122.34522,47.61656,-122.34418,"South Lake Union",1,"5/19/2015 18:50:22.963 ",324.555941221903
"99",47.60912,-122.33323,47.613,-122.34004,"Central Business District",1,"5/19/2015 20:42:08.986 ",669.139801786015
"100",47.61938,-122.34536,47.61459,-122.34834,"South Lake Union",1,"5/20/2015 9:56:15.043 ",578.21074761597
"101",47.6114,-122.34388,47.61663,-122.34472,"Pike-Market",1,"5/20/2015 10:17:48.019 ",585.603510450721
"102",47.61947,-122.34522,47.62215,-122.33428,"South Lake Union",6,"5/21/2015 12:32:20.976 ",873.39554299732
"103",47.66414,-122.29825,47.66173,-122.29943,"Ravenna",1,"5/21/2015 13:06:30.989 ",282.490148806269
"104",47.66402,-122.29809,47.6693,-122.30384,"Ravenna",6,"5/21/2015 14:06:34.042 ",728.892589618201
"105",47.61851,-122.34953,47.6244,-122.34778,"Belltown",1,"5/21/2015 17:13:24.010 ",668.690416255735
"106",47.61976,-122.34574,47.64233,-122.32034,"South Lake Union",6,"5/21/2015 20:04:29.021 ",3153.31101668339
"107",47.66398,-122.29871,47.67166,-122.31502,"Ravenna",6,"5/21/2015 20:28:47.021 ",1491.93883989615
"108",47.61918,-122.34514,47.61522,-122.34807,"South Lake Union",1,"5/19/2015 9:28:11.971 ",492.611672913364
"109",47.61172,-122.34398,47.61477,-122.3488,"Pike-Market",1,"5/19/2015 17:09:58.032 ",496.097223688897
"110",47.618,-122.34702,47.61944,-122.34517,"Belltown",1,"5/19/2015 18:32:39.034 ",212.052422144075
"111",47.61944,-122.34517,47.62281,-122.34747,"South Lake Union",1,"5/19/2015 18:50:15.014 ",412.937313926249
"112",47.62487,-122.34744,47.62103,-122.34751,"Lower Queen Anne",1,"5/19/2015 20:54:20.966 ",427.499108624297
"113",47.61848,-122.33665,47.6289,-122.32749,"Belltown",6,"5/21/2015 12:34:06.038 ",1348.26406635616
"114",47.66406,-122.29808,47.67116,-122.31304,"Ravenna",6,"5/21/2015 14:08:22.992 ",1372.01426630894
"152",47.66417,-122.28032,47.66861,-122.3846,"Laurelhurst",7,"5/19/2015 9:41:37.997 ",7833.2395273304
"153",47.66861,-122.3846,47.66858,-122.376,"Adams",7,"5/19/2015 11:45:13.018 ",644.703596591944
"154",47.66201,-122.34201,47.6784,-122.32702,"Wallingford",7,"5/19/2015 12:04:54.019 ",2142.79294851375
"155",47.67858,-122.32636,47.6757,-122.30753,"Green Lake",7,"5/19/2015 13:02:11.962 ",1447.30644787119
"156",47.65944,-122.27772,47.66178,-122.27959,"Laurelhurst",1,"5/19/2015 17:05:28.982 ",295.823035294823
"157",47.66401,-122.28016,47.70548,-122.29181,"Laurelhurst",7,"5/20/2015 15:49:40.022 ",4698.2520085026
"158",47.70539,-122.29154,47.69024,-122.29019,"Meadowbrook",7,"5/20/2015 16:43:03.043 ",1689.5206075827
"159",47.69009,-122.29032,47.69356,-122.27328,"Wedgwood",7,"5/20/2015 17:07:35.040 ",1333.97831836462
"160",47.66416,-122.2803,47.66173,-122.27809,"Laurelhurst",1,"5/20/2015 18:22:23.002 ",317.217144221769
"161",47.66175,-122.27805,47.66307,-122.2802,"Laurelhurst",1,"5/20/2015 18:54:55.987 ",218.116944779013
"162",47.66417,-122.28019,47.6753,-122.31768,"Laurelhurst",7,"5/21/2015 9:52:27.034 ",3071.35189105941
"163",47.67567,-122.31732,47.66497,-122.29234,"Roosevelt",7,"5/21/2015 11:35:29.990 ",2219.28241891384
"164",47.66204,-122.2953,47.66425,-122.28029,"Ravenna",7,"5/21/2015 11:59:47.990 ",1151.91272202527
"165",47.66423,-122.28,47.71925,-122.29674,"Laurelhurst",7,"5/21/2015 16:19:43.968 ",6251.92351458856
"166",47.72061,-122.30069,47.71928,-122.28857,"Olympic Hills",7,"5/21/2015 17:32:40.992 ",919.671492980129
"167",47.68155,-122.25847,47.6643,-122.28027,"Sand Point",7,"5/21/2015 19:22:04.022 ",2521.43944859162
"168",47.66416,-122.2805,47.66196,-122.30652,"Laurelhurst",7,"5/19/2015 9:21:04.982 ",1966.09642591843
"169",47.66836,-122.38485,47.66866,-122.36906,"Adams",7,"5/19/2015 11:46:43.997 ",1184.16284445452
"170",47.67821,-122.3272,47.67578,-122.3039,"Green Lake",7,"5/19/2015 13:03:01.037 ",1767.21816361038
"171",47.66413,-122.28023,47.65955,-122.27781,"Laurelhurst",2,"5/19/2015 15:22:05.030 ",541.165200349093
"172",47.6641,-122.28036,47.67576,-122.302,"Laurelhurst",7,"5/19/2015 17:07:28.992 ",2077.56324195753
"173",47.6766,-122.32739,47.67573,-122.29764,"Green Lake",7,"5/19/2015 20:21:47.030 ",2231.97339373915
"174",47.66416,-122.28034,47.69721,-122.27739,"Laurelhurst",7,"5/20/2015 15:41:50.957 ",3685.74645049976
"175",47.68999,-122.29031,47.69568,-122.2801,"Wedgwood",7,"5/20/2015 17:05:47.990 ",993.216987965019
"176",47.66422,-122.2807,47.6618,-122.27799,"Laurelhurst",1,"5/20/2015 17:55:05.981 ",337.421113252779
"177",47.6618,-122.27799,47.67549,-122.3019,"Laurelhurst",7,"5/21/2015 9:45:45.965 ",2352.6929270367
"178",47.67604,-122.31763,47.66477,-122.29581,"Roosevelt",7,"5/21/2015 11:36:11.981 ",2061.39795176935
