"","olat","olng","lat5","lon5","neighborhood","mode","time_start","dis"
"455",47.68601,-122.30809,47.71723,-122.29647,"Roosevelt",7,"5/21/2015 7:31:48.000 ",3582.76438684755
"456",47.57472,-122.40911,47.56112,-122.38723,"Alki",6,"5/19/2015 8:16:20.006 ",2234.44502036504
"457",47.57462,-122.40914,47.56485,-122.39969,"Alki",6,"5/20/2015 8:21:59.990 ",1298.69476068678
"458",47.55829,-122.37692,47.55946,-122.38686,"Fairmount Park",6,"5/20/2015 16:07:47.021 ",757.986159220239
"459",47.57465,-122.40917,47.58089,-122.38489,"Alki",6,"5/21/2015 8:01:33.024 ",1951.14140480163
"460",47.70095,-122.36098,47.70042,-122.34517,"Greenwood",6,"5/19/2015 9:20:57.984 ",1185.92881386904
"461",47.70013,-122.34517,47.70096,-122.36102,"Greenwood",6,"5/19/2015 10:34:21.965 ",1191.04940494178
"462",47.70096,-122.36102,47.66925,-122.37632,"Greenwood",6,"5/19/2015 12:15:07.978 ",3711.49059799258
"463",47.62337,-122.35423,47.66161,-122.37619,"Lower Queen Anne",6,"5/19/2015 13:28:01.978 ",4564.38261339478
"464",47.70088,-122.36097,47.67278,-122.36081,"Greenwood",6,"5/19/2015 16:51:56.995 ",3128.10067069984
"465",47.64986,-122.35695,47.64636,-122.35022,"North Queen Anne",6,"5/19/2015 17:33:54.000 ",637.600026260266
"466",47.701,-122.36097,47.70002,-122.34491,"Greenwood",6,"5/20/2015 10:22:16.982 ",1208.1295472984
"467",47.70096,-122.36104,47.67258,-122.36083,"Greenwood",6,"5/20/2015 16:02:00.038 ",3159.28634377189
"468",47.64981,-122.35736,47.66815,-122.37619,"North Queen Anne",6,"5/20/2015 16:25:47.021 ",2482.2220666214
"469",47.6727,-122.37609,47.68005,-122.36048,"West Woodland",6,"5/20/2015 18:37:18.019 ",1427.72529004319
"470",47.6897,-122.35558,47.70099,-122.36108,"Greenwood",6,"5/20/2015 18:58:30.000 ",1322.63370445002
"471",47.70099,-122.36108,47.69179,-122.35877,"Greenwood",6,"5/21/2015 12:39:48.010 ",1038.66095364706
"472",47.70091,-122.36107,47.68065,-122.36053,"Greenwood",6,"5/21/2015 16:48:15.034 ",2255.69583964784
"473",47.64976,-122.35731,47.65545,-122.37351,"North Queen Anne",6,"5/21/2015 17:18:37.987 ",1370.01395095877
