"","olat","olng","lat10","lon10","neighborhood","mode","time_start","dis"
"1",47.62083,-122.31667,47.60582,-122.32924,"Broadway",6,"5/19/2015 9:54:45.965 ",1918.7869016378
"2",47.58119,-122.32871,47.61822,-122.32585,"Industrial District",6,"5/19/2015 10:42:27.014 ",4127.74724154679
"3",47.62085,-122.31643,47.60112,-122.31688,"Broadway",6,"5/19/2015 16:04:11.021 ",2196.59317473227
"4",47.55023,-122.31727,47.59942,-122.31721,"Mid-Beacon Hill",6,"5/19/2015 18:27:00.000 ",5475.80760605341
"5",47.62089,-122.31667,47.59592,-122.31535,"Broadway",6,"5/21/2015 11:30:12.038 ",2781.41251353628
"6",47.60778,-122.30989,47.62084,-122.31695,"Minor",6,"5/21/2015 13:06:27.014 ",1547.35804128258
"7",47.62084,-122.31695,47.58695,-122.31651,"Broadway",6,"5/21/2015 19:25:59.981 ",3772.7620907375
"8",47.60901,-122.33411,47.71961,-122.32408,"Central Business District",6,"5/21/2015 22:44:44.995 ",12334.8772662523
"9",47.61947,-122.34522,47.64293,-122.31586,"South Lake Union",6,"5/21/2015 12:32:20.976 ",3416.34030499028
"10",47.66402,-122.29809,47.67583,-122.32212,"Ravenna",6,"5/21/2015 14:06:34.042 ",2230.08067679142
"11",47.61976,-122.34574,47.66097,-122.30083,"South Lake Union",6,"5/21/2015 20:04:29.021 ",5691.35980185823
"12",47.66398,-122.29871,47.67525,-122.33341,"Ravenna",6,"5/21/2015 20:28:47.021 ",2887.9549910731
"13",47.61848,-122.33665,47.6431,-122.31367,"Belltown",6,"5/21/2015 12:34:06.038 ",3237.7926650879
"14",47.66406,-122.29808,47.67556,-122.33201,"Ravenna",6,"5/21/2015 14:08:22.992 ",2847.48538513602
"15",47.66861,-122.3846,47.66216,-122.3492,"Adams",7,"5/19/2015 11:45:13.018 ",2749.3207147579
"16",47.67578,-122.31501,47.67845,-122.32708,"Roosevelt",7,"5/19/2015 12:12:20.016 ",952.248311412286
"17",47.67858,-122.32636,47.66898,-122.28493,"Green Lake",7,"5/19/2015 13:02:11.962 ",3284.20532588283
"18",47.69009,-122.29032,47.66856,-122.27453,"Wedgwood",7,"5/20/2015 17:07:35.040 ",2672.9679984819
"19",47.67567,-122.31732,47.66215,-122.29517,"Roosevelt",7,"5/21/2015 11:35:29.990 ",2241.03822279696
"20",47.72061,-122.30069,47.6837,-122.26427,"Olympic Hills",7,"5/21/2015 17:32:40.992 ",4932.21116109288
