"","olat","olng","lat10","lon10","neighborhood","mode","time_start","dis"
"3607",47.64831,-122.37831,47.62539,-122.34517,"Interbay",6,"5/21/2015 20:10:19.027 ",3562.19537044332
"3608",47.60569,-122.33506,47.63178,-122.37499,"Central Business District",6,"5/19/2015 16:29:37.018 ",4172.80153089814
"3609",47.62502,-122.36449,47.61283,-122.34173,"Lower Queen Anne",23,"5/20/2015 7:03:22.982 ",2181.29360457334
"3610",47.61828,-122.3546,47.64154,-122.37625,"Belltown",23,"5/20/2015 16:43:09.005 ",3056.53484279051
"3611",47.674,-122.3758,47.61857,-122.35325,"West Woodland",6,"5/21/2015 6:33:37.008 ",6397.99857360069
"3612",47.66869,-122.3765,47.70003,-122.3651,"Adams",6,"5/21/2015 13:39:24.970 ",3591.8364106437
"3613",47.70003,-122.3651,47.67379,-122.37613,"Greenwood",6,"5/21/2015 14:38:27.024 ",3035.71959312897
"3621",47.61739,-122.32452,47.62395,-122.32933,"Broadway",1,"5/20/2015 7:48:59.962 ",814.573448462224
"3622",47.62636,-122.33067,47.61846,-122.32966,"South Lake Union",1,"5/20/2015 16:38:33.043 ",882.683020246483
"3623",47.6174,-122.32448,47.61288,-122.29643,"Broadway",2,"5/20/2015 17:21:11.002 ",2164.21131375449
"3625",47.61742,-122.3245,47.62721,-122.32608,"Broadway",1,"5/21/2015 7:41:24.029 ",1096.24665167614
"3626",47.62627,-122.33067,47.62521,-122.32533,"South Lake Union",1,"5/21/2015 16:39:05.962 ",417.654670133058
"3627",47.61955,-122.32095,47.61117,-122.33593,"Broadway",22,"5/21/2015 19:45:30.010 ",1460.77173752533
"3628",47.61117,-122.33593,47.61124,-122.33716,"Central Business District",1,"5/21/2015 20:21:33.984 ",92.6360336561064
"3660",47.60439,-122.33334,47.59941,-122.32935,"Central Business District",1,"5/21/2015 16:12:01.987 ",630.096681608355
"3661",47.61848,-122.32346,47.58937,-122.26038,"Broadway",22,"5/20/2015 7:13:49.987 ",5737.37904658496
"3663",47.56116,-122.30521,47.57609,-122.29383,"North Beacon Hill",2,"5/20/2015 18:23:08.966 ",1868.90495856918
"3664",47.61665,-122.32377,47.62536,-122.32168,"Broadway",1,"5/20/2015 20:36:37.037 ",982.192559922545
"3665",47.625,-122.32209,47.61658,-122.32378,"Broadway",1,"5/20/2015 22:38:37.968 ",945.848836211889
"3666",47.61862,-122.32339,47.59018,-122.30872,"Broadway",22,"5/21/2015 7:15:44.035 ",3351.93525696357
"3675",47.56269,-122.30747,47.6054,-122.3283,"North Beacon Hill",28,"5/19/2015 17:01:36.998 ",5005.10381196506
"3676",47.66562,-122.28488,47.65228,-122.30886,"Bryant",23,"5/20/2015 6:56:24.029 ",2331.94524068004
"3677",47.65018,-122.30959,47.59759,-122.32125,"University District",21,"5/20/2015 7:25:35.962 ",5919.29649027301
"3678",47.56296,-122.30745,47.56746,-122.30706,"North Beacon Hill",1,"5/20/2015 17:47:15.014 ",501.793511414641
"3679",47.57244,-122.30849,47.59889,-122.31697,"North Beacon Hill",23,"5/20/2015 19:28:24.010 ",3012.45619326852
"3680",47.66147,-122.28466,47.62344,-122.32905,"Laurelhurst",18,"5/21/2015 6:54:08.986 ",5385.80253435659
"3681",47.58179,-122.38569,47.53871,-122.36085,"North Admiral",5,"5/19/2015 12:13:43.997 ",5145.88017252012
"3682",47.5227,-122.36668,47.52767,-122.39277,"Roxhill",5,"5/19/2015 13:25:52.982 ",2037.73650952158
"3683",47.5824,-122.38493,47.57151,-122.3597,"North Admiral",6,"5/20/2015 8:12:37.958 ",2249.30751577496
"3684",47.68058,-122.27628,47.65703,-122.30181,"View Ridge",6,"5/20/2015 16:25:42.960 ",3245.83132568355
"3685",47.58819,-122.38247,47.58294,-122.38424,"North Admiral",1,"5/20/2015 20:37:52.982 ",599.347329316826
"3686",47.58235,-122.38545,47.57499,-122.30335,"North Admiral",6,"5/21/2015 8:12:19.987 ",6219.38616621761
"3687",47.68049,-122.27584,47.66139,-122.29817,"View Ridge",6,"5/21/2015 15:58:33.024 ",2706.03387184489
"3688",47.62803,-122.29501,47.58637,-122.28667,"Stevens",6,"5/21/2015 16:46:18.998 ",4679.62127127257
"3689",47.61335,-122.3302,47.60745,-122.32274,"Broadway",6,"5/20/2015 14:01:36.998 ",863.022730197862
"3690",47.61271,-122.3296,47.63708,-122.34032,"First Hill",6,"5/20/2015 19:14:31.978 ",2829.57131026715
"3691",47.63708,-122.34032,47.61207,-122.32912,"Westlake",6,"5/20/2015 20:54:29.002 ",2908.15014435674
